,City,Country,Major_Geo_Region,HDI_level,Climate_region,WHO_region,annual_avg_2010,peak_NDVI_2010,annual_weight_avg_2010,peak_weight_2010,indicator_2010,annual_avg_2015,peak_NDVI_2015,annual_weight_avg_2015,indicator_2015,peak_weight_2015,annual_avg_2020,peak_NDVI_2020,annual_weight_avg_2020,peak_weight_2020,indicator_2020,annual_avg_2021,peak_NDVI_2021,annual_weight_avg_2021,indicator_2021,peak_weight_2021
31,Al-Fashir,Sudan,Africa,Low,Arid,Eastern Mediterranean,0.107106476,0.11833069,0.095173219,0.118592546,Exceptionally Low,0.160973485,0.167504902,0.160897177,Exceptionally Low,0.167523902,0.161402211,0.179310146,0.161592757,0.179404467,Exceptionally Low,0.160237577,0.170127732,0.160357556,Exceptionally Low,0.17009084
32,Algiers,Algeria,Africa,High,Temperate,Africa,0.201850221,0.274505155,0.166861961,0.240203663,Very Low,0.281152944,0.333320527,0.257058744,Very Low,0.289241702,0.258215991,0.321248963,0.242577067,0.298278382,Very Low,0.25257636,0.299951911,0.241396547,Very Low,0.279781805
33,Aligarh,India,Asia,Medium,Temperate,South-East Asia,0.206157531,0.274260271,0.197021406,0.274917222,Very Low,0.261067012,0.321718087,0.260711815,Low,0.321428132,0.268596294,0.301898824,0.268999315,0.302254578,Low,0.247553981,0.311584118,0.248018565,Low,0.312179371
34,Almaty,Kazakhstan,Asia,Very high,Continental,Europe,0.234011923,0.348538589,0.232027419,0.347028024,Low,0.250439233,0.36389981,0.252455094,Low,0.369507633,0.273959973,0.393817383,0.278271963,0.399971226,Low,0.237272462,0.345216373,0.239726774,Low,0.352182094
35,Al-Minya,Egypt,Africa,High,Arid,Eastern Mediterranean,0.303312065,0.385783899,0.257065622,0.332072651,Low,0.357634304,0.426166897,0.312998026,Low,0.37042628,0.358131127,0.405296189,0.310414394,0.342675694,Low,0.36679257,0.420007884,0.317325456,Low,0.355874388
36,Al-Ubayyid,Sudan,Africa,Low,Arid,Eastern Mediterranean,0.116371972,0.134126245,0.111413159,0.129915043,Exceptionally Low,0.152211769,0.173775007,0.152137512,Exceptionally Low,0.173824408,0.168412306,0.190590602,0.168173584,0.190041902,Exceptionally Low,0.15934148,0.180565457,0.159408907,Exceptionally Low,0.18077926
37,Alwar,India,Asia,Medium,Arid,South-East Asia,0.218775606,0.330502402,0.218166417,0.331678884,Low,0.281655869,0.336801471,0.28206967,Low,0.337010001,0.275241891,0.293568921,0.274836079,0.293681525,Very Low,0.287073737,0.350159507,0.287290611,Low,0.352429518
38,Al-Zaqaziq,Egypt,Africa,High,Arid,Eastern Mediterranean,0.271415749,0.404817451,0.156185385,0.263279718,Very Low,0.390387409,0.475032563,0.272643239,Low,0.314074139,0.364136488,0.451043662,0.255119342,0.296178162,Very Low,0.365893573,0.434148323,0.253384335,Very Low,0.284420849
39,Amaigbo,Nigeria,Africa,Low,Tropical,Africa,0.367441758,0.402613829,0.217019877,0.406688869,Moderate,0.335520519,0.562481563,0.331166101,High,0.578038655,0.402721473,0.434347583,0.388284084,0.4525911,Moderate,0.378911727,0.521378493,0.382350975,High,0.537195466
40,Amarah,Iraq,Asia,Medium,Arid,Eastern Mediterranean,0.079346947,0.087247587,0.073749347,0.077959908,Exceptionally Low,0.113052242,0.120971418,0.113328845,Exceptionally Low,0.121480139,0.117677553,0.123365289,0.118569386,0.124243646,Exceptionally Low,0.108470909,0.117601619,0.1092348,Exceptionally Low,0.118241057
41,Ambala,India,Asia,Medium,Temperate,South-East Asia,0.262184871,0.330535336,0.26095334,0.329920489,Low,0.336717236,0.411995341,0.33532559,Moderate,0.410345869,0.356786418,0.365365133,0.35753182,0.365316597,Low,0.326981973,0.479798782,0.327823706,Moderate,0.481185442
42,Amman,Jordan,Asia,High,Arid,Eastern Mediterranean,0.112818118,0.156677746,0.089938585,0.140404649,Exceptionally Low,0.157254494,0.184674234,0.145231707,Exceptionally Low,0.169189213,0.155349722,0.186875413,0.145524808,0.172480244,Exceptionally Low,0.148965808,0.166609496,0.141169054,Exceptionally Low,0.156285628
43,Amravati,India,Asia,Medium,Tropical,South-East Asia,0.202245124,0.355130675,0.195300625,0.351841863,Low,0.285301721,0.315398266,0.283253139,Low,0.313049521,0.28807699,0.342756195,0.285882659,0.341744118,Low,0.304415145,0.383153621,0.302459782,Low,0.379481873
44,Amritsar,India,Asia,Medium,Arid,South-East Asia,0.224264443,0.274953147,0.227716445,0.266363999,Very Low,0.264620377,0.344367009,0.267046315,Low,0.342449123,0.302214223,0.337287997,0.304736533,0.346197374,Low,0.274088124,0.358372715,0.27934214,Low,0.355188173
45,Amsterdam,Netherlands,Europe,Very high,Temperate,Europe,0.275815616,0.357599678,0.189558526,0.336446511,Low,0.302019686,0.391426993,0.283402093,Low,0.370254216,0.330899506,0.411291854,0.310866066,0.389237826,Low,0.289229921,0.410863525,0.271482994,Low,0.391859093
46,An Nazlah,Egypt,Africa,High,Arid,Eastern Mediterranean,0.313882401,0.438815443,0.229585684,0.434812955,Moderate,0.431432889,0.502089113,0.427439549,Moderate,0.496274359,0.39667479,0.47817254,0.392887775,0.472825282,Moderate,0.395446763,0.453697086,0.392027807,Moderate,0.448232589
47,Anand,India,Asia,Medium,Tropical,South-East Asia,0.307102532,0.360553917,0.296729372,0.359406615,Low,0.357836711,0.390438383,0.356036932,Low,0.3888055,0.348864261,0.378236693,0.34860711,0.378197425,Low,0.356179381,0.385188374,0.355247943,Low,0.384034357
48,Angeles [San Fernando],Philippines,Asia,High,Tropical,Western Pacific,0.374354688,0.417663954,0.363364925,0.425074498,Moderate,0.442567921,0.503255996,0.449889162,High,0.513991483,0.473081202,0.517889848,0.488384071,0.537102007,High,0.442078872,0.493715321,0.456232806,High,0.512052661
49,Ankara,Turkey,Asia,Very high,Arid,Europe,0.16433533,0.206348436,0.13379328,0.200786491,Very Low,0.222985873,0.246475186,0.223547071,Very Low,0.249337762,0.201687615,0.244803025,0.202837884,0.246665247,Very Low,0.20296668,0.266891012,0.204140906,Very Low,0.271809544
50,Anqing,China,Asia,High,Temperate,Western Pacific,0.191175601,0.238495215,0.156995889,0.197290554,Exceptionally Low,0.173286616,0.267415922,0.147068899,Very Low,0.232388493,0.210662537,0.270904661,0.186930676,0.24471588,Very Low,0.149250378,0.27416547,0.131966034,Very Low,0.253309611
51,Anshan,China,Asia,High,Continental,Western Pacific,0.085160835,0.139595581,0.074099259,0.127072595,Exceptionally Low,0.201255486,0.335270789,0.189801795,Low,0.310759494,0.156805705,0.33835902,0.142546999,0.323675853,Low,0.165828534,0.360279655,0.149597431,Low,0.340230714
52,Antalya,Turkey,Asia,Very high,Temperate,Europe,0.20877096,0.229509345,0.206417948,0.220356381,Very Low,0.257053964,0.292813762,0.25441123,Very Low,0.290047395,0.241685824,0.254713892,0.238107184,0.250505775,Very Low,0.233267951,0.250459407,0.229823119,Very Low,0.247745939
53,Antananarivo,Madagascar,Africa,Low,Temperate,Africa,0.265948812,0.3516508,0.183254427,0.349259538,Low,0.298592161,0.352742798,0.294571755,Low,0.363234877,0.297266067,0.359339506,0.295914377,0.362904352,Low,0.300670623,0.367764838,0.29973504,Low,0.358987944
54,Antwerp,Belgium,Europe,Very high,Temperate,Europe,0.301867811,0.355005292,0.212554251,0.330184944,Low,0.317152704,0.384350054,0.295613325,Low,0.357982986,0.309540285,0.384276083,0.285749716,0.356751314,Low,0.315753136,0.414295256,0.290170815,Low,0.385815556
55,Anyang,China,Asia,High,Arid,Western Pacific,0.145895084,0.261315172,0.115602522,0.206413547,Very Low,0.234561912,0.26688074,0.195096343,Very Low,0.231376771,0.274099392,0.335480135,0.230076337,0.292267639,Very Low,0.243199613,0.284155003,0.211429049,Very Low,0.258166151
56,Aracaju,Brazil,Latin America and the Caribbean,High,Tropical,Americas,0.254663584,0.308812928,0.201462919,0.242772421,Very Low,0.297973538,0.315768557,0.268361885,Very Low,0.28550463,0.301366321,0.320085764,0.266413482,0.278729383,Very Low,0.297480754,0.332115848,0.264855588,Very Low,0.293570914
57,Ardabil,Islamic Republic of Iran,Asia,High,Arid,Eastern Mediterranean,0.115699436,0.154155725,0.115874078,0.154092025,Exceptionally Low,0.153969899,0.191806132,0.153996593,Exceptionally Low,0.192013731,0.133538111,0.201506318,0.133374996,0.201428963,Very Low,0.127267258,0.180185516,0.127182569,Exceptionally Low,0.180255443
58,Arequipa,Peru,Latin America and the Caribbean,High,Arid,Americas,0.150970549,0.165359616,0.148772734,0.168725514,Exceptionally Low,0.189599977,0.216703082,0.190450606,Very Low,0.215739416,0.193235095,0.23711083,0.194048002,0.236540976,Very Low,0.175384748,0.184879168,0.177182557,Exceptionally Low,0.187029672
59,Arusha,United Republic of Tanzania,Africa,Low,Tropical,Eastern Mediterranean,0.33987213,0.377618551,0.160027679,0.360137265,Low,0.406884059,0.480882945,0.383708332,Moderate,0.441665506,0.414756408,0.49413671,0.382010493,0.449839912,Moderate,0.392002775,0.426603624,0.35698285,Low,0.394590652
60,Asansol,India,Asia,Medium,Tropical,South-East Asia,0.278442263,0.402070939,0.203243708,0.392304961,Low,0.34648909,0.433128699,0.351178297,Moderate,0.443108298,0.370327841,0.42438984,0.365047996,0.434840211,Moderate,0.337800144,0.485231425,0.331459003,Moderate,0.48511696
61,Ashgabat,Turkmenistan,Asia,High,Arid,Europe,0.132566013,0.152779752,0.123582345,0.148599643,Exceptionally Low,0.183960374,0.210019367,0.1816303,Very Low,0.205740905,0.182147113,0.228689652,0.179196913,0.223983283,Very Low,0.16030577,0.19595479,0.158853847,Exceptionally Low,0.194651473
62,Asmara,Eritrea,Africa,Low,Arid,Africa,0.155306668,0.200329805,0.110786417,0.177425202,Exceptionally Low,0.181752966,0.239123229,0.181803502,Very Low,0.23877188,0.209055735,0.287308461,0.209179124,0.28747984,Very Low,0.19785491,0.245338854,0.19791257,Very Low,0.245610941
63,Astrakhan,Russian Federation,Europe,Very high,Arid,Europe,0.182821466,0.244117538,0.170743469,0.247309288,Very Low,0.210088529,0.28340654,0.211646728,Very Low,0.286877942,0.19929064,0.260507563,0.202336258,0.264842941,Very Low,0.211213171,0.278601916,0.214244246,Very Low,0.283131162
64,Asuncion,Argentina,Latin America and the Caribbean,Very high,Tropical,Americas,0.415327134,0.46997254,0.387908966,0.445047127,Moderate,0.438941087,0.478602958,0.424803834,Moderate,0.463432901,0.418848668,0.469022522,0.407889235,0.453960565,Moderate,0.43961919,0.469530079,0.424163698,Moderate,0.453981035
65,Asyut,Egypt,Africa,High,Arid,Eastern Mediterranean,0.266376626,0.357442652,0.23389869,0.315347007,Low,0.32593858,0.360174475,0.284823316,Low,0.314057862,0.316667495,0.374415275,0.277378545,0.324415436,Low,0.321803164,0.368152981,0.28201867,Low,0.322826688
66,At Taif,Saudi Arabia,Asia,Very high,Arid,Eastern Mediterranean,0.077506358,0.083162051,0.05843314,0.083698116,Exceptionally Low,0.103766216,0.112808723,0.104049362,Exceptionally Low,0.113389612,0.116496231,0.126379155,0.116479641,0.126284848,Exceptionally Low,0.115449006,0.118601358,0.115524573,Exceptionally Low,0.118806156
67,At Tarimiyah,Iraq,Asia,Medium,Arid,Eastern Mediterranean,0.227075658,0.235220378,0.23599902,0.247870405,Very Low,0.276748109,0.289730866,0.287005126,Low,0.303268082,0.310045522,0.328096464,0.315360189,0.33193911,Low,0.289655758,0.303467957,0.297141507,Low,0.313802701
68,Athens,Greece,Europe,Very high,Temperate,Europe,0.159100082,0.181394709,0.118288637,0.153558213,Exceptionally Low,0.22438702,0.246017779,0.193404025,Very Low,0.213375992,0.224105878,0.236815355,0.193784588,0.20445833,Very Low,0.206509731,0.226636817,0.177304899,Exceptionally Low,0.194985236
69,Atlanta,United States of America,Northern America,Very high,Temperate,Americas,0.385673674,0.461216323,0.394940094,0.47189516,Moderate,0.421495608,0.482186433,0.429953325,Moderate,0.492512239,0.435178822,0.504174136,0.443787863,0.514521976,High,0.419555186,0.512414698,0.427998708,High,0.523208773
70,Auckland,New Zealand,Oceania,Very high,Temperate,Western Pacific,0.297899149,0.306599157,0.315303718,0.326418988,Low,0.326277301,0.377474464,0.345481334,Moderate,0.405012016,0.298796006,0.325082746,0.317458718,0.344709226,Low,0.351567317,0.368227786,0.375205833,Low,0.39454277
71,Aurangabad,India,Asia,Medium,Arid,South-East Asia,0.183781409,0.212784832,0.091810956,0.212774485,Very Low,0.236933125,0.302887031,0.236704048,Low,0.302738415,0.229285582,0.308665051,0.229712234,0.308801226,Low,0.282599394,0.334647001,0.282773656,Low,0.334178201
72,Austin,United States of America,Northern America,Very high,Temperate,Americas,0.369263761,0.408995099,0.367681836,0.408753166,Moderate,0.398430197,0.447173816,0.398716676,Moderate,0.447450407,0.399561152,0.455183411,0.402370663,0.458691587,Moderate,0.355262611,0.390633966,0.267270287,Low,0.391622911
73,Azamgarh,India,Asia,Medium,Temperate,South-East Asia,0.245786371,0.370231574,0.232887988,0.334029352,Low,0.317462518,0.432936138,0.317617874,Moderate,0.432947629,0.368030859,0.391360542,0.368838207,0.392376699,Low,0.343278119,0.467842088,0.343392909,Moderate,0.467625066
74,Bacolod,Philippines,Asia,High,Tropical,Western Pacific,0.297507063,0.34162527,0.138764056,0.316967639,Low,0.387394834,0.43452386,0.362703183,Moderate,0.403021647,0.388532172,0.415425518,0.361623566,0.385544637,Low,0.395859192,0.425803685,0.371689556,Low,0.398931054
75,Baghdad,Iraq,Asia,Medium,Arid,South-East Asia,0.090093383,0.102731854,0.084990875,0.096063294,Exceptionally Low,0.125905545,0.129751382,0.120872205,Exceptionally Low,0.125647534,0.127882944,0.134700032,0.119426626,0.126496287,Exceptionally Low,0.128095458,0.132939603,0.120869065,Exceptionally Low,0.126643338
76,Bahraich,India,Asia,Medium,Temperate,Americas,0.233042075,0.29075355,0.211873218,0.289461226,Very Low,0.287081471,0.370919978,0.287379597,Low,0.372055031,0.301152042,0.415749803,0.302693474,0.419188494,Moderate,0.294426193,0.367941003,0.294622415,Low,0.368430155
77,Bakersfield,United States of America,Northern America,Very high,Arid,Europe,0.203267599,0.218113578,0.211715991,0.221692315,Very Low,0.222464229,0.232446576,0.228713569,Very Low,0.242519927,0.221202851,0.246241214,0.226524625,0.255221552,Very Low,0.203408679,0.218100934,0.212311956,Very Low,0.230232321
78,Baku,Azerbaijan,Asia,High,Arid,South-East Asia,0.110864513,0.12528816,0.103003896,0.119576076,Exceptionally Low,0.146241123,0.167103467,0.142828702,Exceptionally Low,0.1684204,0.155228477,0.180718653,0.151521919,0.180544977,Exceptionally Low,0.15837358,0.185073938,0.156014993,Exceptionally Low,0.182859527
79,Balikpapan,Indonesia,Asia,High,Tropical,South-East Asia,0.231138417,0.25637967,0.130278756,0.194539876,Exceptionally Low,0.290368885,0.333391112,0.303576829,Low,0.348462053,0.188830828,0.337744278,0.197108973,0.353404816,Low,0.179961581,0.269430689,0.169600639,Very Low,0.282449369
80,Ballari,India,Asia,Medium,Arid,South-East Asia,0.234649685,0.301214582,0.217055018,0.293598401,Very Low,0.29719787,0.406889503,0.296369666,Moderate,0.405284848,0.286605803,0.373652381,0.285788573,0.372572607,Low,0.311825874,0.357842456,0.3109223,Low,0.356659406
81,Ballia,India,Asia,Medium,Temperate,South-East Asia,0.269492314,0.386570132,0.25202293,0.387080799,Low,0.344692271,0.479195564,0.345167245,Moderate,0.480025508,0.384055217,0.462366538,0.383568597,0.46208092,Moderate,0.384173283,0.46823095,0.384173283,Moderate,0.468573864
82,Balrampur,India,Asia,Medium,Temperate,Europe,0.27806606,0.369207078,0.209032117,0.369915444,Low,0.351788769,0.456069091,0.353317549,Moderate,0.457319048,0.402582504,0.512938546,0.403136234,0.514312367,High,0.29077851,0.413747048,0.29136567,Moderate,0.413482733
83,Balti,Moldova,Europe,High,Continental,Eastern Mediterranean,0.283928392,0.440193583,0.282591032,0.437778715,Moderate,0.333157802,0.454922826,0.332330323,Moderate,0.452834348,0.298232994,0.424650208,0.297831672,0.423340783,Moderate,0.322555235,0.497396834,0.321297917,Moderate,0.495310062
84,Baltimore,United States of America,Northern America,Very high,Temperate,Americas,0.268397163,0.422816163,0.266444285,0.416173196,Moderate,0.349602265,0.461423439,0.351557707,Moderate,0.462543055,0.366722945,0.468302774,0.370686308,0.468253637,Moderate,0.364876537,0.451501493,0.370241812,Moderate,0.453654661
85,Bamako,Mali,Africa,Low,Tropical,Africa,0.187766073,0.265693261,0.116534196,0.195371063,Exceptionally Low,0.184426251,0.26160056,0.16795601,Very Low,0.221085223,0.207239438,0.281613826,0.186198933,0.245085753,Very Low,0.194966181,0.232040239,0.176831206,Very Low,0.201203006
86,Banda,India,Asia,Medium,Temperate,South-East Asia,0.164797181,0.252042096,0.122237657,0.252596892,Very Low,0.278067712,0.321976514,0.278117147,Low,0.321338199,0.258894473,0.332339734,0.25818119,0.331804249,Low,0.293996748,0.361730473,0.293237912,Low,0.361118874
87,Bandar Lampung,Indonesia,Asia,High,Tropical,South-East Asia,0.314254751,0.39848359,0.301131883,0.400752049,Moderate,0.336382531,0.37915823,0.33894769,Low,0.377823619,0.320663542,0.336955727,0.321153991,0.337652629,Low,0.356721212,0.382461008,0.358329696,Low,0.385805973
88,Bandar Seri Begawan,Brunei,Asia,Very high,Tropical,Western Pacific,0.343767179,0.388603386,0.384788454,0.434004054,Moderate,0.429506347,0.437283508,0.476333113,Moderate,0.486663764,0.429989211,0.446436799,0.472178537,0.489011521,Moderate,0.437889158,0.451349117,0.482045205,Moderate,0.498687356
89,Bandung,Indonesia,Asia,High,Tropical,South-East Asia,0.36739159,0.437013173,0.224160511,0.319746393,Low,0.362248451,0.410871185,0.271271314,Low,0.305100078,0.389035043,0.418233256,0.293731988,0.320092044,Low,0.386387944,0.415365908,0.295452897,Low,0.318367022
90,Bangkok,Thailand,Asia,High,Tropical,South-East Asia,0.30419921,0.348876,0.275747933,0.31348411,Low,0.340787823,0.363604275,0.30359751,Low,0.326992881,0.323857049,0.359392184,0.294941809,0.331224194,Low,0.278289103,0.305862892,0.248266918,Very Low,0.277861504
